# IntOGen Compendium of Mutational Cancer Driver Genes - trimmed snapshot
# Source archive: IntOGen-Drivers-20240920.zip (release 2024.09.20; archive dir 2024-06-18_IntOGen-Drivers)
# Source file: Compendium_Cancer_Genes.tsv  (columns SYMBOL, ROLE)
# Download: https://www.intogen.org/download   License: CC0 1.0 Universal (public domain)
# Citation: Martinez-Jimenez et al., A compendium of mutational cancer driver genes, Nature Reviews Cancer 2020 (doi:10.1038/s41568-020-0290-x)
# Snapshot generated: 2026-09-01
# role = majority vote of per-cohort IntOGen ROLE calls (Act/LoF/ambiguous) collapsed to one value per gene:
#   oncogene = Act majority | tumor_suppressor = LoF majority | mixed = exact Act/LoF tie | ambiguous = only ambiguous calls
# 633 genes: {'oncogene': 282, 'tumor_suppressor': 297, 'mixed': 46, 'ambiguous': 8}
symbol	role
ABCC4	oncogene
ABL1	tumor_suppressor
ABL2	oncogene
ACKR3	oncogene
ACSL3	oncogene
ACSL6	oncogene
ACSM3	oncogene
ACVR1	oncogene
ACVR1B	tumor_suppressor
ACVR2A	tumor_suppressor
ADAMTS9	tumor_suppressor
AFDN	tumor_suppressor
AFF1	tumor_suppressor
AFF3	mixed
AFF4	oncogene
AJUBA	tumor_suppressor
AKAP9	oncogene
AKT1	oncogene
AKT3	oncogene
ALDH2	oncogene
ALK	oncogene
ALPK1	oncogene
AMER1	tumor_suppressor
ANK1	oncogene
ANKRD11	tumor_suppressor
APC	tumor_suppressor
AR	oncogene
ARAF	oncogene
ARHGAP35	tumor_suppressor
ARHGAP5	tumor_suppressor
ARHGEF10	tumor_suppressor
ARHGEF10L	tumor_suppressor
ARHGEF12	mixed
ARID1A	tumor_suppressor
ARID1B	tumor_suppressor
ARID2	tumor_suppressor
ARNT	tumor_suppressor
ASXL1	tumor_suppressor
ASXL2	tumor_suppressor
ATF7IP	tumor_suppressor
ATG7	tumor_suppressor
ATM	tumor_suppressor
ATP1A1	oncogene
ATP2B3	mixed
ATR	tumor_suppressor
ATRX	tumor_suppressor
AXIN1	tumor_suppressor
B2M	tumor_suppressor
BAP1	tumor_suppressor
BARD1	oncogene
BAZ1A	tumor_suppressor
BCL10	tumor_suppressor
BCL11A	oncogene
BCL11B	oncogene
BCL2	oncogene
BCL6	mixed
BCL7A	oncogene
BCL9	tumor_suppressor
BCL9L	tumor_suppressor
BCLAF1	oncogene
BCOR	tumor_suppressor
BCORL1	tumor_suppressor
BCR	oncogene
BIRC3	oncogene
BIRC6	tumor_suppressor
BMP6	oncogene
BMPR1A	tumor_suppressor
BRAF	oncogene
BRCA1	tumor_suppressor
BRCA2	tumor_suppressor
BRD4	oncogene
BRD7	tumor_suppressor
BTG1	mixed
BTG2	oncogene
BTK	oncogene
CACNA1D	oncogene
CADM2	oncogene
CAMTA1	oncogene
CANT1	oncogene
CARD11	oncogene
CASP8	tumor_suppressor
CASZ1	tumor_suppressor
CBFB	tumor_suppressor
CBL	tumor_suppressor
CBLB	oncogene
CCAR1	tumor_suppressor
CCDC6	tumor_suppressor
CCND1	mixed
CCND2	tumor_suppressor
CCND3	oncogene
CCNT1	ambiguous
CCR7	tumor_suppressor
CD209	oncogene
CD274	tumor_suppressor
CD58	tumor_suppressor
CD79B	oncogene
CDC73	oncogene
CDH1	tumor_suppressor
CDH10	oncogene
CDH11	oncogene
CDK12	tumor_suppressor
CDK4	tumor_suppressor
CDKN1A	tumor_suppressor
CDKN1B	tumor_suppressor
CDKN2A	tumor_suppressor
CDKN2C	oncogene
CDX2	tumor_suppressor
CEBPA	mixed
CEP89	oncogene
CHD2	tumor_suppressor
CHD4	oncogene
CHD7	tumor_suppressor
CHEK2	oncogene
CHRDL1	tumor_suppressor
CIC	tumor_suppressor
CIITA	oncogene
CLIP1	tumor_suppressor
CLTC	oncogene
CLTCL1	tumor_suppressor
CMTR2	tumor_suppressor
CNOT3	oncogene
CNOT9	oncogene
CNTRL	tumor_suppressor
COL1A1	tumor_suppressor
COL2A1	tumor_suppressor
COL6A3	tumor_suppressor
COL6A6	tumor_suppressor
CPEB3	oncogene
CREBBP	tumor_suppressor
CRLF2	tumor_suppressor
CRTC1	oncogene
CSF1R	tumor_suppressor
CSF3R	tumor_suppressor
CSMD3	oncogene
CSPG4	oncogene
CTCF	tumor_suppressor
CTNNA1	mixed
CTNNA2	oncogene
CTNNB1	oncogene
CTNND2	oncogene
CUL3	tumor_suppressor
CUX1	tumor_suppressor
CXCR4	tumor_suppressor
CYLD	tumor_suppressor
CYP2C8	oncogene
CYSLTR2	mixed
DAXX	tumor_suppressor
DCAF12L2	oncogene
DCC	tumor_suppressor
DDB2	mixed
DDR2	tumor_suppressor
DDX3X	oncogene
DDX6	mixed
DGCR8	oncogene
DHX9	oncogene
DICER1	tumor_suppressor
DIS3	oncogene
DNMT3A	tumor_suppressor
DOT1L	tumor_suppressor
DROSHA	tumor_suppressor
DSP	tumor_suppressor
DTX1	tumor_suppressor
DUSP16	tumor_suppressor
EBF1	mixed
EFTUD2	oncogene
EGFR	oncogene
EGR2	oncogene
EIF1AX	oncogene
EIF3E	oncogene
EIF4A2	tumor_suppressor
ELF3	mixed
ELF4	tumor_suppressor
ELK4	oncogene
ELL	mixed
ELN	tumor_suppressor
EP300	tumor_suppressor
EPAS1	oncogene
EPHA2	tumor_suppressor
EPHA3	oncogene
EPHA7	tumor_suppressor
EPS15	oncogene
ERBB2	oncogene
ERBB3	oncogene
ERBB4	tumor_suppressor
ERCC2	oncogene
ERCC3	tumor_suppressor
ERG	oncogene
ESR1	oncogene
ESRRA	oncogene
ETV1	mixed
ETV4	oncogene
ETV5	oncogene
ETV6	oncogene
EWSR1	mixed
EZH2	oncogene
FAM135B	tumor_suppressor
FAM174B	oncogene
FANCA	oncogene
FAS	tumor_suppressor
FAT1	tumor_suppressor
FAT2	tumor_suppressor
FAT3	oncogene
FAT4	oncogene
FBLN2	tumor_suppressor
FBN2	tumor_suppressor
FBXO11	tumor_suppressor
FBXW7	tumor_suppressor
FCGR2B	tumor_suppressor
FCRL4	tumor_suppressor
FGD1	oncogene
FGD5	oncogene
FGFR1	oncogene
FGFR2	oncogene
FGFR3	oncogene
FGFR4	tumor_suppressor
FHIT	oncogene
FLCN	tumor_suppressor
FLG	oncogene
FLT3	oncogene
FLT4	tumor_suppressor
FMN2	tumor_suppressor
FNDC3B	tumor_suppressor
FOXA1	oncogene
FOXA2	tumor_suppressor
FOXL2	oncogene
FOXO1	oncogene
FOXO3	oncogene
FOXP1	tumor_suppressor
FUBP1	mixed
FUS	ambiguous
GATA2	oncogene
GATA3	mixed
GLI1	tumor_suppressor
GMPS	oncogene
GNA11	oncogene
GNA13	tumor_suppressor
GNAI2	oncogene
GNAQ	oncogene
GNAS	oncogene
GPAA1	oncogene
GPC5	mixed
GRIN2A	oncogene
GRM3	tumor_suppressor
GSK3B	tumor_suppressor
GTF2I	oncogene
H3-3A	oncogene
H3C2	oncogene
H4C9	oncogene
HCAR3	oncogene
HDAC4	oncogene
HGF	oncogene
HIF1A	oncogene
HIP1	tumor_suppressor
HLA-A	tumor_suppressor
HLA-B	tumor_suppressor
HLA-C	tumor_suppressor
HLA-DQA1	oncogene
HNF1A	tumor_suppressor
HNRNPA2B1	oncogene
HOXC13	tumor_suppressor
HRAS	oncogene
HSP90AA1	tumor_suppressor
HSP90AB1	tumor_suppressor
HSPG2	oncogene
ID3	tumor_suppressor
IDH1	oncogene
IDH2	oncogene
IKBKB	oncogene
IKZF1	oncogene
IKZF3	oncogene
IL6ST	oncogene
IL7R	oncogene
ING1	tumor_suppressor
INPPL1	tumor_suppressor
IRAK1	tumor_suppressor
IRF1	tumor_suppressor
IRF4	oncogene
IRS4	mixed
ITGAV	tumor_suppressor
JAK1	tumor_suppressor
JAK2	mixed
JAK3	oncogene
KAT6A	tumor_suppressor
KAT6B	tumor_suppressor
KAT7	tumor_suppressor
KDM3B	tumor_suppressor
KDM5A	oncogene
KDM5C	tumor_suppressor
KDM6A	tumor_suppressor
KDR	oncogene
KEAP1	mixed
KIF5B	oncogene
KIT	oncogene
KLF4	oncogene
KLF5	oncogene
KLF6	tumor_suppressor
KLHL6	mixed
KMT2A	tumor_suppressor
KMT2B	tumor_suppressor
KMT2C	tumor_suppressor
KMT2D	tumor_suppressor
KMT5A	oncogene
KNL1	tumor_suppressor
KNSTRN	oncogene
KRAS	oncogene
LATS1	tumor_suppressor
LATS2	tumor_suppressor
LDB1	tumor_suppressor
LEF1	tumor_suppressor
LIFR	oncogene
LPA	tumor_suppressor
LRIG3	tumor_suppressor
LRP1B	oncogene
LSM14A	oncogene
LYN	oncogene
LZTR1	tumor_suppressor
MACC1	tumor_suppressor
MAF	oncogene
MALT1	oncogene
MAML2	tumor_suppressor
MAP2K1	oncogene
MAP2K4	tumor_suppressor
MAP2K7	tumor_suppressor
MAP3K1	tumor_suppressor
MAPK1	oncogene
MARK2	tumor_suppressor
MAX	oncogene
MB21D2	tumor_suppressor
MCM7	tumor_suppressor
MDGA2	oncogene
MDM2	oncogene
MECOM	mixed
MED12	oncogene
MED23	tumor_suppressor
MEF2B	tumor_suppressor
MEN1	tumor_suppressor
MET	oncogene
MGA	tumor_suppressor
MIB2	tumor_suppressor
MLLT1	oncogene
MLLT3	ambiguous
MLLT6	mixed
MPL	ambiguous
MSI2	tumor_suppressor
MSN	tumor_suppressor
MTOR	oncogene
MUC6	oncogene
MYC	mixed
MYCN	oncogene
MYD88	oncogene
MYEOV	oncogene
MYH11	mixed
MYH9	tumor_suppressor
MYO5A	oncogene
N4BP2	tumor_suppressor
NACA	oncogene
NBEA	tumor_suppressor
NCAPH	oncogene
NCKIPSD	tumor_suppressor
NCOA1	ambiguous
NCOA2	mixed
NCOR1	tumor_suppressor
NCOR2	tumor_suppressor
NF1	tumor_suppressor
NF2	tumor_suppressor
NFATC2	mixed
NFE2L2	oncogene
NFKB2	mixed
NFKBIA	tumor_suppressor
NFKBIE	tumor_suppressor
NIN	tumor_suppressor
NIPBL	tumor_suppressor
NKTR	oncogene
NKX2-1	tumor_suppressor
NOTCH1	tumor_suppressor
NOTCH2	tumor_suppressor
NPM1	oncogene
NPRL2	tumor_suppressor
NRAS	oncogene
NRG1	oncogene
NRK	tumor_suppressor
NSD1	tumor_suppressor
NSD2	oncogene
NSD3	tumor_suppressor
NT5C3A	oncogene
NTRK1	oncogene
NTRK2	oncogene
NTRK3	mixed
NUMA1	tumor_suppressor
NUP214	oncogene
NUP98	oncogene
NUTM1	tumor_suppressor
NUTM2D	oncogene
NVL	oncogene
NXF1	tumor_suppressor
P2RY8	oncogene
PABPC1	oncogene
PALB2	tumor_suppressor
PARP4	oncogene
PAX5	mixed
PBRM1	tumor_suppressor
PCBP1	oncogene
PCM1	tumor_suppressor
PCMTD1	tumor_suppressor
PDCD1LG2	oncogene
PDGFRA	oncogene
PDGFRB	oncogene
PDZD2	tumor_suppressor
PEG3	tumor_suppressor
PER3	oncogene
PHF6	tumor_suppressor
PI4KA	oncogene
PICALM	tumor_suppressor
PIK3CA	oncogene
PIK3CB	oncogene
PIK3R1	tumor_suppressor
PIM1	mixed
PLAG1	oncogene
PLCG1	oncogene
PLXNC1	tumor_suppressor
PML	tumor_suppressor
PMS2	ambiguous
POLD1	tumor_suppressor
POLE	oncogene
POLQ	tumor_suppressor
POT1	oncogene
POU2F2	oncogene
PPM1D	tumor_suppressor
PPP2R1A	oncogene
PPP3CA	tumor_suppressor
PPP6C	oncogene
PRDM1	tumor_suppressor
PRDM16	ambiguous
PRDM2	tumor_suppressor
PREX2	oncogene
PRKAR1A	mixed
PRKCB	oncogene
PRKCD	tumor_suppressor
PRKD1	oncogene
PRKD2	oncogene
PRUNE2	tumor_suppressor
PSIP1	tumor_suppressor
PSPC1	oncogene
PTCH1	tumor_suppressor
PTEN	tumor_suppressor
PTK6	oncogene
PTMA	oncogene
PTPN11	oncogene
PTPN13	tumor_suppressor
PTPN14	tumor_suppressor
PTPN3	tumor_suppressor
PTPN6	tumor_suppressor
PTPRB	tumor_suppressor
PTPRC	tumor_suppressor
PTPRD	oncogene
PTPRK	tumor_suppressor
PTPRT	oncogene
PWWP2A	tumor_suppressor
QKI	mixed
RAC1	oncogene
RAD21	tumor_suppressor
RAD50	oncogene
RAF1	oncogene
RANBP2	tumor_suppressor
RAP1B	tumor_suppressor
RAP1GDS1	mixed
RASA1	tumor_suppressor
RASA2	tumor_suppressor
RB1	tumor_suppressor
RBFOX1	tumor_suppressor
RBM10	tumor_suppressor
RBM15	tumor_suppressor
RBM38	tumor_suppressor
RBM39	oncogene
RECQL4	tumor_suppressor
RELA	tumor_suppressor
REST	tumor_suppressor
RET	oncogene
RGPD3	tumor_suppressor
RGS7	oncogene
RHOA	oncogene
RHPN2	tumor_suppressor
RIPK1	tumor_suppressor
RNF213	tumor_suppressor
RNF43	tumor_suppressor
RNF6	tumor_suppressor
ROBO2	mixed
ROS1	tumor_suppressor
RPL10	oncogene
RPL22	tumor_suppressor
RPL5	tumor_suppressor
RPS3A	oncogene
RPS6KA3	tumor_suppressor
RRAGC	oncogene
RRAS2	oncogene
RRN3	oncogene
RSPO2	oncogene
RUNX1	tumor_suppressor
RUNX1T1	oncogene
RXRA	oncogene
SALL4	oncogene
SAMHD1	tumor_suppressor
SDCBP	tumor_suppressor
SDHA	oncogene
SETBP1	oncogene
SETD1B	tumor_suppressor
SETD2	tumor_suppressor
SETDB1	oncogene
SF3B1	oncogene
SGK1	oncogene
SH2B3	oncogene
SHTN1	oncogene
SIN3A	tumor_suppressor
SIRPA	oncogene
SIX1	oncogene
SLC34A2	oncogene
SMAD2	tumor_suppressor
SMAD3	tumor_suppressor
SMAD4	tumor_suppressor
SMARCA2	oncogene
SMARCA4	oncogene
SMARCB1	oncogene
SMARCD1	tumor_suppressor
SMC1A	oncogene
SMO	oncogene
SND1	oncogene
SNX29	mixed
SOCS1	oncogene
SOS1	oncogene
SOX17	oncogene
SOX21	tumor_suppressor
SOX9	tumor_suppressor
SP140	tumor_suppressor
SPEN	tumor_suppressor
SPOP	oncogene
SRGAP3	oncogene
SRSF2	oncogene
STAG2	tumor_suppressor
STAT3	oncogene
STAT5B	oncogene
STAT6	oncogene
STK11	tumor_suppressor
SUFU	tumor_suppressor
SUSD2	oncogene
SUZ12	mixed
TAF15	tumor_suppressor
TAF1L	tumor_suppressor
TAL1	ambiguous
TAL2	oncogene
TBL1XR1	oncogene
TBX3	mixed
TCF12	tumor_suppressor
TCF4	tumor_suppressor
TCF7L2	tumor_suppressor
TCL1A	tumor_suppressor
TEC	oncogene
TENT5C	tumor_suppressor
TERT	oncogene
TET1	tumor_suppressor
TET2	tumor_suppressor
TFAP4	oncogene
TFG	oncogene
TFRC	mixed
TGFBR1	tumor_suppressor
TGFBR2	tumor_suppressor
TGIF1	tumor_suppressor
THRAP3	tumor_suppressor
TMPRSS2	oncogene
TMSB4X	tumor_suppressor
TNC	oncogene
TNFAIP3	tumor_suppressor
TNFRSF14	tumor_suppressor
TOP1	mixed
TOP2A	oncogene
TP53	tumor_suppressor
TP63	tumor_suppressor
TPR	mixed
TRAF3	tumor_suppressor
TRAF7	oncogene
TRIM24	oncogene
TRIM33	tumor_suppressor
TRIM49C	oncogene
TRIP11	tumor_suppressor
TRMT12	oncogene
TRRAP	oncogene
TSC1	tumor_suppressor
TSC2	tumor_suppressor
TSHR	mixed
U2AF1	oncogene
U2AF2	oncogene
UBE2A	tumor_suppressor
UBR5	tumor_suppressor
UBXN11	oncogene
USP6	oncogene
USP7	tumor_suppressor
USP8	oncogene
USP9X	tumor_suppressor
VAV1	tumor_suppressor
VHL	tumor_suppressor
WAS	oncogene
WNK2	oncogene
WNT1	tumor_suppressor
WT1	tumor_suppressor
WWTR1	oncogene
XPO1	oncogene
ZBTB16	mixed
ZBTB20	tumor_suppressor
ZBTB48	oncogene
ZBTB7B	tumor_suppressor
ZCCHC8	oncogene
ZCRB1	oncogene
ZEB1	oncogene
ZFHX3	tumor_suppressor
ZFP36L1	mixed
ZMYM2	oncogene
ZMYM3	tumor_suppressor
ZNF208	oncogene
ZNF274	oncogene
ZNF331	oncogene
ZNF395	oncogene
ZNF429	tumor_suppressor
ZNF521	oncogene
ZNF626	oncogene
ZNF680	oncogene
ZNF721	oncogene
ZNF750	tumor_suppressor
ZNF780A	oncogene
ZNF814	oncogene
ZNF90	oncogene
ZNF93	oncogene
ZNRF3	tumor_suppressor
ZRSR2	tumor_suppressor
ZXDB	tumor_suppressor
